Date,Open,Close,High,Low,Volume,Adj Close
2022-08-17,13658.0,13493.25,13672.0,13406.25,610667,13493.25
2022-08-18,13503.0,13523.25,13575.5,13410.75,530513,13523.25
2022-08-19,13534.25,13268.5,13534.5,13228.75,618758,13268.5
2022-08-22,13226.5,12909.75,13226.5,12874.5,599946,12909.75
2022-08-23,12933.75,12896.5,13018.5,12823.5,570278,12896.5
2022-08-24,12892.0,12929.75,13011.25,12825.75,503227,12929.75
2022-08-25,12944.0,13156.0,13161.5,12925.0,543666,13156.0
2022-08-26,13153.75,12620.5,13220.0,12557.5,753862,12620.5
2022-08-29,12485.0,12492.75,12610.25,12401.5,693093,12492.75
2022-08-30,12503.5,12358.75,12658.25,12247.5,797462,12358.75
2022-08-31,12366.0,12285.25,12513.0,12276.25,672068,12285.25
2022-09-01,12284.75,12292.25,12299.5,12017.75,820606,12292.25
2022-09-02,12297.75,12104.25,12461.5,12040.25,835870,12104.25
2022-09-06,12110.5,12019.0,12244.5,11930.0,895450,12019.0
2022-09-07,12019.75,12263.25,12306.25,11921.5,677159,12263.25
2022-09-08,12267.75,12321.75,12379.5,12115.75,737024,12321.75
2022-09-09,12345.25,12592.5,12613.75,12329.5,535984,12592.5
2022-09-12,12626.0,12740.75,12773.75,12573.25,444255,12740.75
2022-09-13,12769.5,12036.5,12889.0,12003.25,463841,12036.5
2022-09-14,12050.25,12142.0,12173.0,12001.75,270232,12142.0
2022-09-15,12159.0,11934.75,12187.75,11866.5,169928,11934.75
2022-09-16,11880.0,11814.580078125,11880.0,11750.5,754923,11814.580078125
2022-09-19,11920.0,12024.0,12066.25,11792.25,632663,12024.0
2022-09-20,12045.75,11922.25,12092.5,11828.25,704882,11922.25
2022-09-21,11946.0,11710.0,12140.5,11647.5,822965,11710.0
2022-09-22,11661.25,11565.5,11796.0,11510.0,786180,11565.5
2022-09-23,11583.75,11376.75,11600.25,11229.0,799378,11376.75
2022-09-26,11362.5,11316.25,11537.75,11256.5,809853,11316.25
2022-09-27,11315.5,11333.75,11568.25,11233.5,841073,11333.75
2022-09-28,11361.0,11555.75,11613.5,11141.5,897742,11555.75
2022-09-29,11544.0,11228.25,11567.25,11091.5,891823,11228.25
2022-09-30,11220.0,11035.5,11357.25,11024.25,878168,11035.5
2022-10-03,11030.0,11285.75,11358.25,10890.75,757581,11285.75
2022-10-04,11314.5,11640.75,11675.0,11281.5,772885,11640.75
2022-10-05,11630.25,11623.75,11711.0,11366.5,700889,11623.75
2022-10-06,11628.0,11541.75,11729.75,11505.25,773914,11541.75
2022-10-07,11494.5,11101.5,11564.5,11043.25,759141,11101.5
2022-10-10,11067.75,10984.5,11136.5,10876.75,757732,10984.5
2022-10-11,10987.0,10845.0,11039.5,10767.25,833906,10845.0
2022-10-12,10875.0,10840.5,10976.75,10805.5,731214,10840.5
2022-10-13,10859.0,11083.75,11142.75,10484.75,1050244,11083.75
2022-10-14,11064.75,10744.0,11253.5,10726.75,843525,10744.0
2022-10-17,10720.0,11110.25,11146.25,10713.0,638720,11110.25
2022-10-18,11161.25,11198.75,11431.75,11081.5,832215,11198.75
2022-10-19,11320.25,11153.25,11382.75,11049.0,733776,11153.25
2022-10-20,11134.0,11090.75,11328.75,11008.0,739672,11090.75
2022-10-21,11061.25,11358.5,11386.25,10935.5,840952,11358.5
2022-10-24,11393.75,11478.75,11530.25,11207.75,715016,11478.75
2022-10-25,11453.75,11713.5,11734.0,11430.25,660210,11713.5
2022-10-26,11510.0,11446.0,11703.5,11415.0,784638,11446.0
2022-10-27,11417.75,11235.25,11537.5,10921.5,769071,11235.25
2022-10-28,11122.75,11587.0,11626.0,11062.0,728261,11587.0
2022-10-31,11592.5,11447.25,11595.0,11367.25,607680,11447.25
2022-11-01,11455.0,11332.0,11619.0,11288.75,605362,11332.0
2022-11-02,11320.25,10944.5,11460.0,10909.0,770983,10944.5
2022-11-03,10938.0,10728.0,10996.0,10708.0,705050,10728.0
2022-11-04,10712.0,10890.25,10974.25,10636.0,881129,10890.25
2022-11-07,10786.5,11014.25,11038.5,10751.0,554692,11014.25
2022-11-08,11016.0,11094.25,11231.25,10928.75,728868,11094.25
2022-11-09,11089.25,10830.75,11164.25,10822.25,669071,10830.75
2022-11-10,10841.0,11632.25,11677.0,10808.0,862147,11632.25
2022-11-11,11669.75,11848.0,11876.75,11569.25,682257,11848.0
2022-11-14,11791.0,11734.75,11898.5,11702.0,576678,11734.75
2022-11-15,11768.5,11904.25,12118.75,11761.75,771822,11904.25
2022-11-16,11882.0,11739.5,11963.0,11706.5,577864,11739.5
2022-11-17,11777.75,11710.5,11827.5,11528.25,658469,11710.5
2022-11-18,11747.75,11708.0,11843.0,11607.0,585873,11708.0
2022-11-21,11723.0,11588.0,11756.0,11553.0,477970,11588.0
2022-11-22,11588.0,11754.5,11759.25,11526.5,531087,11754.5
2022-11-23,11741.5,11862.75,11892.75,11720.0,474645,11862.75
2022-11-25,11878.0,11782.75,11933.0,11766.25,252366,11782.75
2022-11-28,11731.25,11616.25,11788.5,11575.25,506250,11616.25
2022-11-29,11625.0,11524.75,11704.5,11465.0,555859,11524.75
2022-11-30,11520.0,12042.25,12078.5,11497.75,769082,12042.25
2022-12-01,12079.25,12062.75,12145.0,11943.25,629297,12062.75
2022-12-02,12039.75,12010.25,12067.75,11740.5,588295,12010.25
2022-12-05,12000.5,11805.75,12015.75,11745.5,537924,11805.75
